score_fused,score_structure,score_alone
-31.352450833799292,-41.01490283065356,-38.17254117352183
-30.26545029057378,-32.52463604604845,-32.82849743132418
-30.03488343245878,-31.666634669034483,-32.37547774952864
-30.113957550354407,-31.482511699375774,-31.868809285295537
-30.112390998775616,-30.54423177268103,-30.637047266365503
-29.856788192337703,-30.52322983280711,-30.657274919585166
-30.338895589100968,-30.429463921364135,-30.54055620362423
-29.901075985809413,-30.380204982745664,-30.451055837813694
-29.86816221678652,-30.370344428660353,-30.395367971739926
-29.789976400133195,-30.357492939340183,-30.409107336081988
-29.914857807330858,-30.40399443493121,-30.431341337132825
-29.909818711285652,-30.407316924492303,-30.451464536365542
-29.919174328170005,-30.426060418156112,-30.2998332329616
-29.812639128441052,-30.327995727662298,-30.342729623842732
-29.793327808863687,-30.129347793173853,-30.205123160082717
-29.784230627320643,-30.143251105720932,-30.18362261230663
-29.872436960087455,-30.238278689612578,-30.25335955854387
-29.853237105360318,-30.278666011434307,-30.3121721970359
-29.881323627248968,-30.257796317787065,-30.276821100316127
-29.86826251099897,-30.242313165662967,-30.271163370599684
-29.959149957395177,-30.181821995201854,-30.287502907557784
-29.915989290912957,-30.19231468215075,-30.193430589146473
-29.96550598306794,-30.175665948101567,-30.197924365508538
-29.96622954666316,-30.145573575407678,-30.15353323667704
-29.97220301562208,-30.18008171980072,-30.182105141406986
-29.95969859412473,-30.162418825960714,-30.166443208430834
-29.949850786220104,-30.152698642568172,-30.151813778053395
-29.9479863699757,-30.144636715149705,-30.14860595881697
-29.944819803751226,-30.107796668272364,-30.11636144506424
-29.929979730570164,-30.079130469817123,-30.083125638783553
-29.923483815819154,-30.053765053096743,-30.0659538113275
-29.909002147743685,-30.029349797915923,-30.03838880588251
-29.894917059982244,-30.010973801572963,-30.015049715822407
-29.88667084930879,-29.99876073997935,-29.995006454884848
-29.878069784556537,-29.9879029620472,-29.9905440775094
-29.870491885908304,-29.977726128383384,-29.981934664405085
-29.862272774877596,-29.96538085594023,-29.966251686381007
-29.85420069612131,-29.954957637359897,-29.955718231610057
-29.858307266332478,-29.943593925523437,-29.955718231610057
-29.849430955315817,-29.933966309846987,-29.955718231610057
-29.83069163991298,-29.90927137847952,-29.955718231610057
-29.825141488991317,-29.896047810165822,-29.955718231610057
-29.81845347714725,-29.892576244569824,-29.89666222199447
-29.831524634451284,-29.893262528096432,-29.880334241938492
-29.80475316478518,-29.869416002800254,-29.86938828909162
-29.80299066908263,-29.87095718928037,-29.86535295920341
-29.7995102676722,-29.864703014593776,-29.859027627474468
-29.789701868310413,-29.852058006433282,-29.85310959391897
-29.791217844716876,-29.850867319220175,-29.843785037258847
-29.77839381787741,-29.837522212662336,-29.840718349878184
-29.773220794952383,-29.83432277775471,-29.838801184733253
