score_fused,score_structure,score_alone
-39.39873398182291,-54.34539311506661,-49.30146979709866
-38.351387120270275,-42.65979211061776,-42.676736002473206
-37.06907574322448,-38.01191733978823,-37.900279285889944
-36.831102232846355,-38.39342962396078,-38.45587811149572
-36.51579829942512,-37.59798909836398,-37.532416846155606
-36.33906319719028,-37.584539175753086,-37.753958961333
-36.22600307248954,-37.29797906757769,-37.49279726820051
-36.41294581161095,-37.489398006440375,-37.35246684591645
-36.47521945234063,-37.40869251554469,-37.171319581585166
-36.32986822898148,-37.361490452578366,-37.45602814961919
-36.25001040728776,-37.09876331274742,-37.21266011610634
-36.324253641541695,-37.08825042636147,-37.10351294501057
-36.519728294396586,-37.18367301035457,-37.09887709753939
-36.53895865354649,-37.21106417078106,-37.256207167370896
-36.617423208223705,-37.24077007291198,-37.181816950462874
-36.536359430835134,-37.3111579001917,-37.315457833205265
-36.70625048681442,-37.415121153435834,-37.38850946011105
-36.5428892646795,-37.36617885072374,-37.32799644962175
-36.70883825201392,-37.4205245865774,-37.360231180915704
-36.74973194347263,-37.558956225896914,-37.664322988450195
-36.9021777523961,-37.532205003999685,-37.519277069456216
-36.82038243461846,-37.60262838253028,-37.633236785443195
-37.02769744115008,-37.712268868727655,-37.73870109568694
-37.04384575737004,-37.76970105053978,-37.774292705458244
-37.164122079351216,-37.903079297021485,-37.8871546533786
-37.399997599141685,-37.9920729789321,-37.98768079438503
-37.39846508403228,-37.99342629458538,-37.99009759261778
-37.42848786917982,-38.02542032002997,-37.980131255626446
-37.415782725342396,-37.87726128680508,-37.87726128680508
-37.45994240533007,-37.9152067471097,-37.93420611018719
-37.60663100101964,-38.03051883656121,-38.05478078066434
-37.56848405289966,-38.13698663146526,-38.15575943952258
-37.73348783182001,-38.266224673102755,-38.30490137284583
-37.733551024412456,-38.28593569207257,-38.33275237047434
-37.80862153333261,-38.37600678487961,-38.37600678487961
-37.89228209294321,-38.46552034634361,-38.468944654454376
-37.90422218612451,-38.4838875483568,-38.4838875483568
-37.96696104091324,-38.54402257482353,-38.55018500215243
-38.05505129393175,-38.66602134714432,-38.60875447248757
-38.120786934119195,-38.69388865893962,-38.660157134778714
-38.04045204857593,-38.61354334899354,-38.60789690672451
-38.08939879491522,-38.70524191842081,-38.68224028762809
-38.052568137810695,-38.690581460090776,-38.70469124130819
-38.065103513493604,-38.722865243925554,-38.735751369085655
-38.14714887389063,-38.715017365304405,-38.757082786253186
-38.14086850690748,-38.758953285230746,-38.758953285230746
-38.15495148836514,-38.826706874683204,-38.826706874683204
-38.15147582628519,-38.80400255681987,-38.83911001855473
-38.148019061777056,-38.8123957356429,-38.8123957356429
-38.19832685104272,-38.85009425255002,-38.940613021553546
-38.055043407631366,-38.67740633046833,-38.67740633046832
