score_fused,score_structure,score_alone
-22.88122955396586,-25.89288850648475,-25.460723961933855
-23.192900783082834,-23.24134951644595,-23.262293850910517
-22.851097503956364,-23.12891271511941,-23.12258517979012
-22.772179947732987,-23.242130231223154,-23.230584031206682
-22.985209768827758,-23.167667083836914,-23.156691142435587
-22.769791482019755,-22.938173749011305,-22.96116929951631
-22.766420733603752,-22.98709928850984,-22.98261038528534
-22.759396321699008,-22.80344242535058,-22.811526514977892
-22.914162249382358,-22.772492575592075,-22.763999489785903
-22.74551537930119,-22.768173138931786,-22.748265782612933
-22.793366070993066,-22.785878128993996,-22.760510874725963
-22.76378897712317,-22.78710278344488,-22.76668964557106
-22.793755490514563,-22.766930889909013,-22.755604155906735
-22.747535161844603,-22.726694170926418,-22.728068359854305
-22.76028185440555,-22.728663378704997,-22.72387572199133
-22.76126893904276,-22.717377942990208,-22.71701305777373
-22.739957396857708,-22.66459236731645,-22.669118043512984
-22.745930320957733,-22.67619593915463,-22.67600165764584
-22.7115570710433,-22.664848460803917,-22.665396725651
-22.75180492240439,-22.666402344432356,-22.67238991509541
-22.683332559869136,-22.62797689844377,-22.62415360914962
-22.609776215618485,-22.57443243423499,-22.574716597110736
-22.580726575516586,-22.55045798497743,-22.55482356042501
-22.562867383966,-22.526182743800756,-22.523897825476205
-22.544555856187884,-22.510101340989525,-22.50969568890478
-22.522781909725705,-22.480823401323665,-22.480337962288758
-22.504914171898424,-22.463726609875334,-22.466096354620674
-22.481516885577626,-22.44684889176741,-22.45326256255083
-22.468919151717028,-22.440189608449362,-22.430434680619097
-22.46537466756438,-22.43772313367502,-22.421960432883065
-22.446789045284575,-22.41283773376927,-22.410316093576522
-22.434729531863272,-22.401494854944254,-22.4000809369655
-22.423931189447458,-22.391588506612834,-22.387274954161487
-22.420155505093074,-22.382007975473474,-22.382212097630724
-22.40314276371999,-22.36936918703479,-22.37314958503505
-22.397793937879474,-22.363087255123215,-22.36567103826787
-22.392673266049794,-22.351485764361396,-22.356505681854742
-22.397039362377754,-22.34729021187393,-22.34849915925562
-22.3843991971637,-22.338456476968855,-22.34744827003465
-22.376830234809315,-22.33367778519865,-22.33840869588672
-22.384633323505344,-22.335960613540244,-22.336102154184413
-22.37630878151565,-22.336053324124578,-22.33425542615982
-22.370227477404047,-22.33106796972556,-22.334928115475734
-22.36475238370616,-22.32216178535025,-22.317679920473356
-22.358749203450962,-22.316192895487315,-22.311805998670582
-22.35045278718523,-22.316440033874727,-22.31053007269079
-22.372860666017807,-22.32164057201318,-22.307580550533245
-22.342062240299352,-22.30783140385865,-22.304705784720046
-22.360216710840035,-22.31566091875223,-22.300250577635982
-22.33245492887425,-22.293643443687593,-22.292571886415878
-22.33903892003295,-22.295915847988784,-22.29194522159926
