score_fused,score_structure,score_alone
-55.027903906447456,-24.863829310427885,-22.087490214660864
-54.87040589949928,-18.46914765326949,-18.47750673461156
-56.49896678938296,-18.43957658015827,-18.37946586683494
-57.324096630197374,-18.404830173854563,-18.335961336079944
-57.2400919968101,-18.590451957582687,-18.49189967054258
-50.84636682933189,-18.247314435738815,-18.23978309370914
-50.60139854901366,-18.13949419449301,-18.135332653595157
-50.51394744448335,-18.104884768210862,-18.102169766841197
-52.178674765063256,-18.196167665839045,-18.191821952052454
-50.37168616104865,-18.150107766649892,-18.157925371577626
-51.66280532977996,-18.142931808664926,-18.162930778402586
-52.27569473739792,-18.13733660480254,-18.13645096042392
-49.82995874341906,-18.13351117291943,-18.139478039323578
-49.98481757644785,-18.117445613326435,-18.125848468950522
-50.13574388809255,-18.121855942967866,-18.121855942967866
-50.30550920836757,-18.128041941517715,-18.130241976185925
-50.16053647451129,-18.109929343356118,-18.109929343356118
-50.390085531242214,-18.08582062379184,-18.08582062379184
-52.352104499499944,-18.092846003486596,-18.08113327007867
-49.49319278843788,-18.06947961752603,-18.06947961752603
-49.21396744007249,-18.068578274292765,-18.061315557597155
-47.278796254588265,-18.054096455103075,-18.046404718061524
-45.571656458062385,-18.061389968047973,-18.051994992805312
-43.91323720775047,-18.06452176864567,-18.05663687659074
-42.49118366896222,-18.056453937878523,-18.049991845393865
-39.78752089713328,-18.047722496874577,-18.047722496874577
-39.07836493704839,-18.046499712250647,-18.057697840510823
-37.42469499524532,-18.08941542481238,-18.09260613341357
-36.131190048328556,-18.078514439432745,-18.082225811944053
-35.04114135831244,-18.088504697390277,-18.09189417762034
-33.96448330683236,-18.082764054617122,-18.086091952744884
-33.031040938809554,-18.087987439128007,-18.08550660610062
-31.994677460157483,-18.07793049013707,-18.083363997055198
-30.86802637628414,-18.072414319487805,-18.081303140011354
-30.289151255801368,-18.06973872500109,-18.061877352642856
-29.29100792226469,-18.078715201687267,-18.084552418788334
-28.527691636174385,-18.076814703943782,-18.07517934746265
-27.58127530586277,-18.05592672722323,-18.054118218859085
-26.4977209960846,-18.03970141164868,-18.049237684046144
-26.066166773006696,-18.036773191111962,-18.029034204515394
-25.3765362573467,-18.029298672115107,-18.0211074786528
-24.734536933751684,-18.023700565271753,-18.01556421994746
-24.210579098574403,-18.02276965072522,-18.014999874697516
-23.63012826903556,-18.015975801663387,-18.015975801663387
-23.198188024932026,-18.017026157902155,-18.017026157902155
-22.702788054327556,-18.014640300633776,-18.014640300633776
-22.33267943913083,-18.010417379347516,-18.010417379347516
-21.965387091172822,-18.01009907376783,-18.01009907376783
-21.629657983662224,-18.0054356142465,-18.0054356142465
-21.439188105857053,-18.002005231273245,-18.002005231273245
-21.109437658871066,-18.000872638507875,-18.000872638507875
-20.780549931655344,-18.007581094686696,-18.007581094686696
-20.54909422809218,-18.00613435642202,-18.00613435642202
-20.225311643512356,-18.006050071737373,-18.006050071737373
-20.016762531401483,-18.00592127798081,-18.00592127798081
-19.748617885717213,-18.003264699124948,-18.003264699124948
-19.686927193219198,-18.0041850818024,-18.0041850818024
-19.696708058806568,-18.00294101144348,-18.00294101144348
-19.6616807046963,-18.000035786640723,-18.000035786640723
-19.687715483549074,-18.00187686909189,-18.00187686909189
-19.69828729557813,-18.006176807213254,-18.006176807213254
-19.71392625005231,-18.011891565289062,-18.011891565289062
-19.676363570278625,-18.01028541030241,-18.01028541030241
-19.66977549743405,-18.01079597879742,-18.01079597879742
-19.730142550844338,-18.015929832523113,-18.015929832523113
-19.698808574273016,-18.013439831258715,-18.013439831258715
-19.69141508797344,-18.013553258072527,-18.013553258072527
-19.697774754394395,-18.008673252198786,-18.008673252198786
-19.655515402962767,-18.006257437169285,-18.006257437169285
-19.59121689668592,-18.00497787961151,-18.00497787961151
-19.657664636960174,-18.00751237231109,-18.00751237231109
-19.630756444382357,-18.00768440453546,-18.00768440453546
-19.579106672818337,-18.00395529628287,-18.00395529628287
-19.570913239276408,-18.00186913540765,-18.00186913540765
-19.62089973815355,-17.997593020855156,-17.997593020855156
-19.568331125620148,-17.992716590349705,-17.992716590349705
-19.62265412428685,-17.987124014079544,-17.987124014079544
-19.57325839504985,-17.983867609905282,-17.983867609905282
-19.622179585559532,-17.979996385649773,-17.979996385649773
-19.634383104322758,-17.981155859038168,-17.981155859038168
-19.63344961105875,-17.977918725677075,-17.977918725677075
-19.632193903149943,-17.974247717789822,-17.974247717789822
