score_fused,score_structure,score_alone
-69.29575395191806,-38.22671246697736,-39.043217595288915
-69.56117167199119,-39.50302364705082,-43.42630546098822
-69.48920001717437,-42.40405136621545,-41.90203406762733
-59.05095140324603,-25.895117640394655,-25.923870884875114
-55.329869012875626,-26.63881134814482,-25.98034930748971
-55.249087968984625,-19.168185663238415,-19.170949214822496
-56.04870255527059,-19.4115877444708,-19.410102064669672
-54.75768113115858,-19.343254276327013,-19.34394831132455
-49.82256381100255,-19.552710016093773,-19.540631144850636
-48.952384973147545,-18.66186226001039,-18.69791254841516
-45.51052040867583,-18.683000684666723,-18.726237266708992
-45.915155529654605,-18.7438926969065,-18.79456668400414
-49.17931122418489,-18.82502025572366,-18.854877198431012
-45.575970466279195,-18.90687035778913,-18.947284345518693
-49.625975175010254,-18.98574089879592,-19.040507182940562
-49.8846041226233,-19.06668537908988,-19.12070546885954
-49.658646536969286,-19.03667459728392,-19.093551188829156
-49.622898305916095,-19.085275390306006,-19.140664847149182
-48.45835847307738,-18.669331140305445,-18.68228048738682
-47.833446178543106,-18.714090257051446,-18.7264189649575
-43.025375921206404,-18.558484972365605,-18.578776941010105
-41.847421082417995,-18.58547145655586,-18.605192213996897
-41.235123926031434,-18.6173924615207,-18.634707329873535
-39.67958449823108,-18.61206637051895,-18.631981019830032
-38.678289272853036,-18.527353134248173,-18.52883796481096
-37.80089897887228,-18.551446248201895,-18.552982640020886
-36.329455672469585,-18.559390597934453,-18.57970172189588
-35.539467743525854,-18.58564524354385,-18.604384325335538
-34.74516551953234,-18.614202515754315,-18.630436976398194
-34.020515131443794,-18.638815921695997,-18.659413705530852
-32.9581170554365,-18.607709320116978,-18.612948732891955
-32.16861832901622,-18.6244657720252,-18.6298925740097
-31.514281290486213,-18.64592803815108,-18.651302526952804
-31.778156710809956,-18.655579366201618,-18.66045507005638
-32.142939007997334,-18.675213299128576,-18.681009087802146
-30.106680403981866,-18.56726211431183,-18.573727803652396
-29.470859357201764,-18.580646440775556,-18.586176027692858
-28.866080937378523,-18.601042476326004,-18.60654528283497
-28.34510428127894,-18.623471429208692,-18.628888570563525
-27.840974429037608,-18.64269638598408,-18.648564984075502
-27.340837648705126,-18.66072745221136,-18.66594003021056
-27.453336646928598,-18.681774449834357,-18.68726063761246
-26.128999839145994,-18.621529062456577,-18.61989906015264
-26.206798002440763,-18.63411869635364,-18.63511170135307
-25.629793639328618,-18.649708937747313,-18.650065837819145
-24.872117162483274,-18.66641864504583,-18.664473953113074
-24.35849850265102,-18.663644408864215,-18.661509964789925
-23.899170192095706,-18.667289518255448,-18.66490304117258
-23.525140722580254,-18.678883062287397,-18.67653809405172
-23.19496653060226,-18.69283004608526,-18.690572633029145
-22.62084825795201,-18.581463298227035,-18.58724301994112
-22.70460585592778,-18.59577868957652,-18.60168374081599
-22.413043025436917,-18.61155376378559,-18.61746239038611
-22.112125604892,-18.617421567275624,-18.623370309665077
-21.732657204515323,-18.627727159424673,-18.63294501683271
-21.459100311365084,-18.64141610017409,-18.646567413031406
-20.986287198059006,-18.600834230523567,-18.59881390770273
-21.020354058795277,-18.61426862262555,-18.611903494799588
-21.06049952402886,-18.625326899892787,-18.62319538857128
-21.039452204687414,-18.608537044702153,-18.606602052977852
-21.06754618228965,-18.61835316519737,-18.616447244477722
-21.099785238510183,-18.62989817602961,-18.627850034994264
-20.868091618281664,-18.52912000552589,-18.527965530342165
-20.898782594941665,-18.53892049935278,-18.53780168891301
-20.92137286171381,-18.549946771004475,-18.548865815534473
-20.993160313441436,-18.55659098930449,-18.560154058287925
-21.138444052150557,-18.55710717264772,-18.57045605382192
-20.724288464716153,-18.446071562965376,-18.445895565336052
-20.626834556611207,-18.446941551875387,-18.446777254885237
-20.6609393841799,-18.453677973003302,-18.453444662659376
