score_fused,score_structure,score_alone
-71.13705554675445,-85.23966588614266,-88.7008180498479
-64.17890122583701,-62.59164101434428,-61.720445054734476
-53.60171142987428,-39.250350679133895,-40.639561687900134
-48.714106416307686,-30.14973478048857,-30.098574922102767
-48.84896424951426,-20.068389889056043,-19.833360009557737
-39.00883631610128,-18.366836956965514,-18.361903206139132
-39.0857598450748,-18.295954750036387,-18.294331399153215
-39.410968737697615,-18.26789196388727,-18.278875648145274
-38.844527257623035,-18.309976607790208,-18.308862459614513
-38.98957460220945,-18.295533356945736,-18.29382410426393
-38.255163997089646,-18.219016449843473,-18.230680507638926
-38.444622443246516,-18.190235176699595,-18.20824127693516
-38.98610467586034,-18.20099115499825,-18.196587654224796
-39.01623521155624,-18.1933456008742,-18.204955882197716
-39.01319279394628,-18.224744487998098,-18.21240546743668
-40.082577633585416,-18.21649130018042,-18.212617348869852
-39.50841588987949,-18.190061626244333,-18.211480911869774
-39.394684293158,-18.124283458030753,-18.154362902491396
-38.72864168410052,-18.109560363410232,-18.1417843724192
-38.249519295779415,-18.10157437739183,-18.13400936799321
-36.946610957331515,-18.102328827149318,-18.13727388636462
-36.58017247892412,-18.09651822928458,-18.112979350333923
-35.46719729780328,-18.1149422157602,-18.138630750640647
-34.10680625246057,-18.103968310076024,-18.13739417753426
-33.649711053975764,-18.09599311272317,-18.120141795681512
-32.81630325694391,-18.0932043874901,-18.1099510902683
-32.11856436221875,-18.107435547251587,-18.09808394230737
-30.66057235488412,-18.068662080331112,-18.06653858934963
-29.966586561062098,-18.062759205472044,-18.060130752413528
-29.636097901398802,-18.064637515973626,-18.061604083693673
-28.5992453625354,-18.063838207558266,-18.083106411771137
-27.389699156383145,-18.065314491600468,-18.064009686108843
-26.654395232249044,-18.079990666494428,-18.079147244796037
-25.762024949650996,-18.07716480578408,-18.076132173476502
-25.290034612387384,-18.07926677907972,-18.078124949760035
-25.064332499679296,-18.093800375323998,-18.093964720907756
-24.302071139757956,-18.09341997537186,-18.091809551933203
-24.236905517870422,-18.084166988716397,-18.082412703872038
-23.87464607655607,-18.073266315362872,-18.071288411860476
-23.08104622872055,-18.095752315782086,-18.094576632310325
-22.954262672830033,-18.10174591648325,-18.100219310159215
-22.35341207251348,-18.1498313700504,-18.148119158941263
-22.00831584066933,-18.153000829113864,-18.1518092606569
-21.505420114354678,-18.154439034076184,-18.153467649590443
-21.255884766822156,-18.14630257017712,-18.145219668166465
-20.989185474123218,-18.14444691379666,-18.143565772530533
-20.917441767408725,-18.134940292152095,-18.133948666212365
-20.677244091621414,-18.13987233200382,-18.138853849243013
-20.449912259927906,-18.137780335555362,-18.136405625196442
-20.114363144789156,-18.136884660845677,-18.135143007963787
-20.032391784930425,-18.139355237019462,-18.139964827374257
-19.85520528328984,-18.13925124524433,-18.13925124524433
-19.672840954798684,-18.142367272818948,-18.14243594108388
-19.420760357596812,-18.13954720377046,-18.13979590859216
-19.2713133663374,-18.13335325939786,-18.133538127328254
-19.209433464652186,-18.126044184267077,-18.126227942717087
-19.06603332728398,-18.12735499787683,-18.127567084601157
-19.138020322345927,-18.11926386849698,-18.11948087286271
