score_fused,score_structure,score_alone
-27.43871381844777,-17.426770439042357,-17.28765228112819
-27.41422007162694,-17.04660515171762,-17.095605296041263
-28.83674687560274,-16.780519084138913,-16.81578052522358
-24.73801407617263,-17.049017683713842,-16.9544586836731
-27.898430100162276,-16.8603604375285,-16.90695241677198
-25.386409024954965,-16.529332319378845,-16.483122899819993
-25.898754471903267,-16.20258097214252,-16.2545625294713
-28.670616759718833,-16.19090157272121,-16.173430574624103
-28.94345942026176,-16.1178553458714,-16.1048222902818
-26.581868699458727,-16.08736751600253,-16.085868630514643
-25.27746634901016,-16.040536150042218,-16.040536150042218
-24.856949702003266,-16.100663610473738,-16.100663610473738
-24.39768675376683,-16.016098631223592,-16.071212805009385
-24.363692852132036,-15.985843365494159,-16.045712490981426
-24.468947674870844,-15.941634850707155,-16.006173812582364
-24.419762952916173,-15.911513672216557,-15.978968851770796
-24.425274055206156,-15.892357886169275,-15.963701148397387
-25.151415963056703,-16.092254096359547,-16.079212617109746
-25.168928914001977,-16.225642029026766,-16.208964750707736
-25.023308461237605,-16.195913579066627,-16.14167659018254
-24.639518400818865,-16.17013342242751,-16.11358226415715
-23.739347549048944,-16.157840242872066,-16.11522559965832
-23.325179332460696,-16.17516201536877,-16.171536182266504
-23.29482806876585,-16.185284968356466,-16.134841228651656
-22.700460862292537,-16.134505057982278,-16.199091444169966
-22.311278194100446,-16.16743344689192,-16.231824930874186
-22.007078896885982,-16.16555710197147,-16.231069967385487
-21.750296835111012,-16.139869627617344,-16.20361293629956
-22.25345408146863,-16.179529595259634,-16.158969586164503
-22.128155059470057,-16.161775695175628,-16.161775695175628
-21.72888342356254,-16.142192774658575,-16.142192774658575
-20.72459184822445,-16.088281111427683,-16.071062890219935
-20.48735410818219,-16.156786421959758,-16.144333227248737
-20.22738428156673,-16.142531345885374,-16.129449241019497
-19.956305161603495,-16.086981269640358,-16.08069824800281
-19.75931166341586,-16.142983248052797,-16.142983248052797
-19.355919206065902,-16.159362817422426,-16.159362817422426
-19.145266981257247,-16.146951952845257,-16.146951952845257
-18.96464160772611,-16.119113941969268,-16.119113941969268
-19.091928804032424,-16.11095340173113,-16.11095340173113
-18.686490097062183,-16.139577592196854,-16.139577592196858
-18.6677881480627,-16.124024801741573,-16.124024801741573
-18.47514853551262,-16.113292697284436,-16.113292697284436
-18.286223991163435,-16.105005552265027,-16.105005552265027
-18.13223352720085,-16.123269524989073,-16.123269524989073
-17.989562265437655,-16.109836297300376,-16.109836297300376
-17.796479630903338,-16.100433529492065,-16.100433529492065
-17.74818381060608,-16.09084198437901,-16.09084198437901
-17.49433274541933,-16.082271918353808,-16.082271918353808
-17.396441362981186,-16.068629610315757,-16.06862961031576
-17.382449634777856,-16.057769976357996,-16.057769976357996
-17.289527584400307,-16.04606236054251,-16.04606236054251
-17.090475498275474,-16.039924362147055,-16.039924362147055
-17.00948207899261,-16.028394251683817,-16.02839425168382
-16.97391129193977,-16.020907210079866,-16.020907210079862
-16.891348304229034,-16.012069023534675,-16.012069023534675
-16.852577932333183,-16.0007390362507,-16.0007390362507
-16.8151254916913,-16.02052263699898,-16.02052263699898
-16.883460469895628,-16.011983245678483,-16.011983245678483
-16.884467882589608,-16.00360894602258,-16.00360894602258
-16.82864779779671,-15.994512705594229,-15.994512705594229
-16.893194930406192,-15.988649764084734,-15.988649764084734
-16.829756494673667,-15.982210394689389,-15.982210394689389
-16.84309354432923,-15.974734805746833,-15.974734805746836
-16.876523602748943,-15.966423062128158,-15.966423062128158
-16.865142574154714,-15.962301513003574,-15.962301513003574
-16.889063809103718,-15.976500072281526,-15.976500072281526
-16.826287287574296,-15.970884180262638,-15.970884180262638
-16.821575723154126,-15.96447645461835,-15.96447645461835
-16.85560972331355,-15.956481584716613,-15.956481584716613
-16.867218051942903,-15.949336265697927,-15.949336265697927
-16.862111038920283,-15.94670685206528,-15.94670685206528
-16.80756130509601,-15.940815764773081,-15.940815764773081
-16.79808560898011,-15.936537152202558,-15.936537152202558
-16.839204288458323,-15.93377216854148,-15.93377216854148
-16.78780308012753,-15.926782772058713,-15.926782772058713
-16.80132380627513,-15.920859438469199,-15.920859438469199
-16.865009565549204,-15.914689627545677,-15.914689627545677
-16.871161247356362,-15.930786581400902,-15.930786581400902
-16.81758234849153,-15.925554618295134,-15.925554618295138
-16.87507264634554,-15.920760699102905,-15.920760699102905
-16.871735846859075,-15.915041651730366,-15.915041651730366
-16.859477628614275,-15.911806168477723,-15.911806168477723
-16.86043594503216,-15.90830664320616,-15.90830664320616
-16.802118074187792,-15.900874652144221,-15.900874652144218
-16.801584935246428,-15.913661928002057,-15.913661928002057
-16.84990355436832,-15.955922643614395,-15.955922643614398
-16.507973286856664,-15.916522260431659,-15.916522260431659
-16.51765324204516,-15.931469031307028,-15.931469031307028
-16.572884971899654,-15.923614792936224,-15.923614792936224
-16.5696191632967,-15.918562291987135,-15.918562291987135
-16.565158719723435,-15.913016670076274,-15.913016670076274
-16.55899279022937,-15.908139154709561,-15.908139154709561
-16.568134147106004,-15.916691099891652,-15.916691099891652
-16.56760708765046,-15.911073527657193,-15.911073527657193
-16.50583699744559,-15.910058218703298,-15.910058218703298
-16.504969120171797,-15.910926670481336,-15.910926670481336
-16.54900365790396,-15.906849206161095,-15.906849206161095
-16.544005109934186,-15.903508042416691,-15.903508042416691
-16.49766784949349,-15.89886141655764,-15.89886141655764
-16.494165763780504,-15.895248689229211,-15.895248689229211
-16.52921589422061,-15.891471764633105,-15.891471764633105
-16.489350846134858,-15.886416018505985,-15.886416018505985
-16.532194859617583,-15.881733935335237,-15.881733935335237
-16.534374469303923,-15.87774782263936,-15.877747822639364
-16.487353458094734,-15.888975696621305,-15.889722994238621
-16.523234020324335,-15.88774237625965,-15.888496903972634
-16.52317728766814,-15.882979961540462,-15.883646306531874
-16.47255273028083,-15.879765953717058,-15.880452242164418
-16.518785965081786,-15.876275975686642,-15.876932263182475
-16.485559937438783,-15.921191767773077,-15.921191767773077
-16.535940999839664,-15.91768978669451,-15.91768978669451
-16.530116950523045,-15.91690751907642,-15.91690751907642
-16.477696597263286,-15.914151171211207,-15.914151171211207
-16.52257903899939,-15.908949422626463,-15.908949422626463
-16.527502282245976,-15.90433851285082,-15.90433851285082
-16.525372918405285,-15.900358083564711,-15.900358083564711
-16.526313298998495,-15.897293702595011,-15.897293702595011
-16.52601881739005,-15.893457665293896,-15.893457665293896
-16.475841059670778,-15.890473004942269,-15.890473004942269
-16.476047700044365,-15.886950494350927,-15.886950494350929
-16.520386365247163,-15.881772941600742,-15.881772941600742
