score_fused,score_structure,score_alone
-37.49186521700589,-19.120916276548922,-19.238775921882656
-36.34826684050581,-18.762330344549913,-18.741188621296796
-35.205380777563185,-17.843916626733016,-17.818693571118132
-30.135743979783964,-17.68484698284898,-17.678853158402585
-30.151414641884912,-17.809810431104633,-17.81067793275299
-29.537985375126226,-17.61050492669533,-17.616397298296324
-29.671610305952704,-17.55631306012669,-17.56034552172489
-32.077280592727575,-17.576868896287905,-17.653155149398977
-29.09115595665061,-17.687419502372453,-17.70065457852406
-34.40162358691489,-17.6065482720908,-17.647794529861137
-31.424484206698192,-17.582493287370315,-17.588315041947272
-31.455716069564577,-17.539907019659143,-17.54729077360276
-34.35895274581802,-17.534860535278582,-17.574833049997935
-32.61507037589888,-17.51164954482263,-17.550045064747003
-32.402587959771104,-17.469017466842388,-17.507133479557275
-32.508193433692355,-17.495602103519968,-17.53200248220934
-29.33396163223734,-17.48623102491136,-17.53129933508481
-29.42150548620802,-17.499409913976137,-17.545946062591085
-29.51635636749578,-17.49274038018453,-17.538975886657823
-28.736379179370452,-17.467192420700286,-17.513065432895527
-28.707194498960703,-17.43229657211347,-17.47901420839418
-28.10948908723448,-17.409533398457988,-17.456696929084575
-27.776620247449305,-17.41584196934796,-17.442581312351685
-26.994368697276073,-17.47962411050429,-17.522600170693533
-26.448558133754023,-17.44896671409905,-17.492065598119922
-26.026539090833932,-17.427892630873004,-17.456520818975527
-25.54340977874866,-17.40750372882105,-17.437344722371087
-24.81763533725029,-17.385165904586174,-17.414994059554235
-24.442935041433664,-17.363995963550227,-17.41056048110426
-24.346025298085692,-17.33965533706888,-17.369779345510313
-23.57429779221786,-17.327586697754793,-17.357186474419688
-23.400245682296525,-17.346375020253213,-17.346815209276112
-22.77351809731376,-17.35491522844363,-17.3542800948427
-22.15898454163326,-17.366048566068297,-17.352290919776543
-22.087142134062205,-17.33938594371995,-17.335043922757908
-21.827122026882392,-17.319220117149488,-17.314687223681542
-21.538674544378207,-17.301379397120318,-17.296846496390366
-21.28471765493054,-17.281217735688678,-17.276597974876555
-20.776645578951882,-17.280998886629913,-17.275592407217292
-20.468871210156234,-17.297610727361747,-17.29312923430046
-20.441344729676956,-17.28305992835278,-17.278442854739488
-20.15075296240774,-17.261129987306578,-17.26139100827998
-19.949543159935736,-17.243148306409356,-17.24363895570241
-19.486126710724882,-17.22412986606874,-17.2265704828892
-19.2999443528968,-17.21008771592959,-17.212643772075314
-19.131707112894553,-17.19700713846692,-17.199701306684037
-18.9311298955419,-17.196281051536552,-17.200848699453257
-18.7852726847542,-17.177978429957687,-17.182951414800158
-18.642769549795112,-17.163792124274256,-17.16903259345584
-18.481506047575007,-17.16682772813962,-17.17206511545114
-18.347522923565855,-17.166191165114977,-17.172987996814587
-18.21824991544036,-17.161739675774946,-17.16858672696411
-18.056451882273894,-17.153069180219287,-17.144701947278
-17.934599580828703,-17.144449264493655,-17.151353452218224
-17.832169405300775,-17.133706774757737,-17.140738772983585
-17.734666152398532,-17.122968499597928,-17.129995222430384
-17.69125525135768,-17.11158452980668,-17.11835983665462
-17.693924816787003,-17.099307641776768,-17.10652461568316
-17.685279671835588,-17.089062330461832,-17.09635887623781
-17.69378782867666,-17.077554406090687,-17.084875523878868
-17.788804815056768,-17.080315442777056,-17.076355123996603
-17.790283053817095,-17.068454670865737,-17.06452251349363
-17.801158333510536,-17.077459723497174,-17.059700652330235
-17.800874124726185,-17.068464007102925,-17.050724200983648
-17.967195391643905,-17.059723709009692,-17.04242534329594
-17.807854497441955,-17.051039922266735,-17.033609678078264
-17.901937219779864,-17.035503401642075,-17.03174689985639
-17.920076879026695,-17.045977872675422,-17.04703282679134
