score_fused,score_structure,score_alone
-19.47075799924218,-22.85562386626019,-24.49384403368064
-19.513806057943103,-24.298684224527246,-25.52350819688823
-19.75249621738741,-22.767382542946567,-23.01656139145281
-19.080225645441654,-19.379821720335677,-19.542242414377466
-19.27578794845662,-19.91787851911153,-20.074420198613637
-19.290430707415968,-20.415414849238406,-20.523985374740555
-19.374969761923975,-20.374146815636898,-20.53623670085823
-19.46285543881041,-20.30299462796824,-20.366221658771302
-19.462548256176696,-20.394361857494594,-20.44337613798327
-19.62802945578619,-20.415626024799725,-20.471515757788627
-19.540492961789163,-20.425363258712608,-20.425363258712608
-19.430441239525493,-20.340634642421055,-20.35343745123483
-19.43263365261481,-20.30042824282539,-20.314905981545895
-19.555466382765445,-20.333160432878937,-20.411729744179596
-19.65904229106903,-20.305578485193184,-20.330952342799783
-19.72620789903004,-20.342072240332726,-20.357740213686345
-19.773208229408546,-20.277842690432465,-20.292328904565046
-19.706899384923183,-20.47412709791574,-20.382779139960608
-19.678798447902484,-20.22947741095214,-20.148920591043254
-19.69437760843391,-20.333863284359616,-20.2884200731398
-19.505679881589224,-20.13913455264744,-20.081356339957228
-19.422477555317435,-20.018981093480438,-19.9770418950245
-19.376723501849334,-19.98440825505845,-19.995033937383646
-19.497158094432777,-20.10277302106414,-20.050929111948253
-19.493936895062284,-20.07411765630873,-20.018633786926802
-19.486626541428805,-19.97084569841365,-19.922420883941772
-19.529982939034856,-20.022530688989317,-19.972638607214023
-19.538071417106448,-20.024076749274016,-19.971812539809058
-19.538692979829136,-19.99185980946754,-19.838457007298416
-19.588455895075512,-20.03070105158086,-19.86503879665142
-19.598490006425724,-20.098967175936657,-19.920369339531074
-19.548116789052113,-20.067965823152605,-20.067965823152605
-19.638685430299,-20.12786310904335,-20.12786310904335
-19.53561090636785,-19.901250600003387,-19.95778637900329
-19.56467395524824,-19.925782511347638,-19.98019582681544
-19.57055516142884,-19.908719141886674,-19.96635582742346
-19.601969324357007,-20.045323515531216,-20.045323515531216
-19.663333773119874,-20.117126613244658,-20.117126613244658
-19.69540408907451,-20.158322765374898,-20.158322765374894
-19.710200027380225,-20.165667371872207,-20.165667371872207
-19.682850240666458,-20.037838329133574,-20.046487489188294
-19.61623662941161,-20.076211119629868,-20.083980883645697
-19.625558205734727,-20.094654446296776,-20.133025529140113
-19.69147301303476,-20.12032782632493,-20.13990774163368
-19.760107300012795,-20.198892882549526,-20.198892882549526
-19.786073765750057,-20.23011017898038,-20.251227059976554
-19.800615534105788,-20.23719412316961,-20.257479469367446
-19.818161117898967,-20.248183613420153,-20.269386672178832
-19.86498126719737,-20.298478192503215,-20.31753694641261
-20.006126831407382,-20.303639776677162,-20.329791125094836
-20.051634628806273,-20.32375182813133,-20.3515386667848
-20.056812626139212,-20.324138394666964,-20.35772390219031
-20.01289882316149,-20.299815064376546,-20.336952485294876
-20.046189452149036,-20.358034418013126,-20.2522028061612
-20.075768565153624,-20.38406607912338,-20.275848501795988
-19.846653585060192,-20.109362118287997,-20.12878079454034
-19.861033433705757,-20.11219089523517,-20.149750049882993
-19.8827979782192,-20.135718910279564,-20.17301483903205
-19.899366193628225,-20.14307719245636,-20.18001727287426
-19.936478389839774,-20.183895162277533,-20.218601316700877
-19.953199517874502,-20.203703007585993,-20.24281557833032
-19.981693954353013,-20.22280569565294,-20.262797866586826
-19.98650055664976,-20.234660405518245,-20.27660429409155
-20.01700396185563,-20.268461526901504,-20.30982009443348
-20.056353666156586,-20.307852703909134,-20.352137598856167
-20.055107369757607,-20.303818384407485,-20.352819719756226
-20.083997375845616,-20.34049907637529,-20.38967468114231
-20.071585689198084,-20.323987297124834,-20.379972899632868
-20.10958571985762,-20.36674801628902,-20.41962097201351
-20.091443103421312,-20.355442706589837,-20.355442706589837
-20.108352877316904,-20.377080755580135,-20.377080755580135
-20.129360599142803,-20.408271268584354,-20.408271268584354
-20.134299843023808,-20.402991919076563,-20.402991919076563
-20.154459611355964,-20.428829399807086,-20.428829399807086
-20.16924152338212,-20.432197262854437,-20.432197262854437
-20.183443908728872,-20.451082240259566,-20.451082240259566
-20.218095576025945,-20.48132686681238,-20.48132686681238
-20.252009310279192,-20.518910680461456,-20.518910680461456
-20.271530433933133,-20.528951269966914,-20.528951269966914
-20.259395938897967,-20.518543808131067,-20.518543808131067
-20.281213766645042,-20.53797250508622,-20.53797250508622
-20.298817393019913,-20.556967538115845,-20.556967538115845
-20.305747316382817,-20.566974530005414,-20.566974530005414
-20.315626968446672,-20.58051362605398,-20.58051362605398
-20.289672709020625,-20.558526793736164,-20.558526793736164
-20.290110505983364,-20.547181628894865,-20.547181628894865
-20.291613183096825,-20.547675305292028,-20.547675305292028
-20.295980696111243,-20.530816255626906,-20.530816255626906
-20.308235169744883,-20.550743625479633,-20.550743625479633
-20.325700583043876,-20.562951530460595,-20.562951530460595
-20.327500107861038,-20.56345649722591,-20.56345649722591
-20.33924240176908,-20.578497721494124,-20.578497721494124
-20.36356053236764,-20.611443252254688,-20.611443252254688
-20.355313730364646,-20.61420816475367,-20.61420816475367
-20.362275638715943,-20.615493411577926,-20.615493411577926
-20.382572606215557,-20.639820081449873,-20.639820081449873
-20.383715367496908,-20.640987122175307,-20.640987122175307
-20.396614444668433,-20.655151574673756,-20.655151574673756
-20.405711845130515,-20.65534323513332,-20.65534323513332
-20.35089003460542,-20.58704224219158,-20.58704224219158
-20.32693717239937,-20.556682036131782,-20.556682036131782
-20.331433595118185,-20.54918634711171,-20.54918634711171
-20.341984630506808,-20.57095538413092,-20.57095538413092
-20.34298835630054,-20.57297878771331,-20.57297878771331
-20.3337462075682,-20.57471872107869,-20.57471872107869
-20.34453874263237,-20.57494799119684,-20.57494799119684
-20.347756096171196,-20.57731775226348,-20.57731775226348
-20.31571064748525,-20.53242026148702,-20.53242026148702
-20.326916412283918,-20.547485625779643,-20.547485625779643
-20.321435234417308,-20.535178254351937,-20.535178254351937
-20.296426261034,-20.523568130769295,-20.523568130769295
-20.312584107608195,-20.539618107114126,-20.539618107114126
-20.31399853442532,-20.537248626764274,-20.537248626764274
-20.333888247140038,-20.546793337807518,-20.546793337807518
-20.357960266222896,-20.57234462001751,-20.57234462001751
-20.375283192010013,-20.58886511210541,-20.58886511210541
-20.395629547789696,-20.60762636024992,-20.60762636024992
-20.38482127365072,-20.598147626186318,-20.598147626186318
-20.370543498202615,-20.592372000827794,-20.592372000827794
-20.363353661396232,-20.582131127917915,-20.582131127917915
-20.381908898752663,-20.609578255990915,-20.609578255990915
-20.39832169201512,-20.62930165954602,-20.62930165954602
-20.40904985206174,-20.644581383960873,-20.644581383960873
-20.4250234788276,-20.666171413693235,-20.666171413693235
-20.41009686077628,-20.65891878307293,-20.65891878307293
-20.423863878409332,-20.67213171023329,-20.67213171023329
-20.425253854444215,-20.671682195154048,-20.671682195154048
-20.33236156937405,-20.581830733942,-20.581830733942
-20.401898631336316,-20.7540294706488,-20.57631957067576
-20.398843087610125,-20.74045326934293,-20.559090725369437
-20.350759740305843,-20.70639660589737,-20.53071571909263
-20.35674330879654,-20.70660381614115,-20.53183239767348
-20.361709732767498,-20.715240907863116,-20.541184839061188
-20.375503944810497,-20.728103825361384,-20.552366184371294
-20.376118992502306,-20.730917232664275,-20.55637564209081
-20.32184428655657,-20.625052055252056,-20.45348441346658
-20.330155846046363,-20.625666254080326,-20.450720217523095
-20.336986008407727,-20.619018444263958,-20.442743426122803
-20.336964154053604,-20.62126422063541,-20.444578064570866
-20.0959089091279,-20.42867942442515,-20.42867942442515
-20.08657737628223,-20.41534518182364,-20.41534518182364
-20.091357307607353,-20.418147071320753,-20.418147071320753
-20.08572433109371,-20.418356382112368,-20.418356382112368
-20.04557136641799,-20.368251110863945,-20.368251110863945
-20.05852703503789,-20.387163182386093,-20.387163182386093
