score_fused,score_structure,score_alone
-16.35105762779451,-20.157343280915903,-19.21937736720621
-16.196250617363443,-17.915195660136625,-18.148349674406237
-16.26971224444021,-17.382883406080452,-17.46670767270463
-16.2267250609392,-17.47433336170892,-17.530727276968644
-16.211419475413532,-16.968587873792,-16.950442235335288
-16.203710087427485,-16.8766290618425,-16.84633753623895
-16.195637000037017,-16.702932514729596,-16.708254247194052
-16.16330445963911,-16.61053105736797,-16.622109224719807
-16.189009132618253,-16.599081436958123,-16.59278950278463
-16.1835564368114,-16.563378180740482,-16.55504635446266
-16.185719919143622,-16.563283243073865,-16.55845171115643
-16.156821373643094,-16.51177741636682,-16.52265609605086
-16.13854117326012,-16.449988363950354,-16.489255009473126
-16.189981202733907,-16.504567607186928,-16.485550536469283
-16.198985881407463,-16.481568333468445,-16.457112608626634
-16.193643127052933,-16.457371249394843,-16.433193458133356
-16.190492539083003,-16.44872567152291,-16.42909756398352
-16.132712140602752,-16.4523494184416,-16.48318256826279
-16.08091838067168,-16.389662930296016,-16.492159010220615
-16.12657897405846,-16.46296101174477,-16.49678462907269
-16.124602475337376,-16.448867085330317,-16.448867085330317
-16.071785812063936,-16.374612004163144,-16.471569511147138
-16.075179218076862,-16.348686475491448,-16.442780930926986
-16.07345128024395,-16.340136543019554,-16.37210391067676
-16.071136268806402,-16.29177251735093,-16.40715671704219
-16.072399140574436,-16.278512461004627,-16.389572975197627
-16.07436525058538,-16.287501057143853,-16.3971234558714
-16.07693900131572,-16.253124242393113,-16.259085330331235
-16.081055871770065,-16.231431398293534,-16.343314370868956
-16.195594638767265,-16.33328630402996,-16.240624523765433
-16.196005459086468,-16.32526994111066,-16.232808265909807
-16.144280968151534,-16.302198605718687,-16.25155915692857
-16.100412863569677,-16.314280076063117,-16.3231734961024
-16.1038382106479,-16.326212772027656,-16.333119265215746
-16.127844000802277,-16.34919346515084,-16.34919346515084
-16.188844387089024,-16.407215712177216,-16.432120069093195
-16.132137620430626,-16.3388987366779,-16.350597849674124
-16.174417573275118,-16.362426782041446,-16.37649829953042
-16.16858720573516,-16.351927350252662,-16.369542822375937
-16.160440730916932,-16.35031994214746,-16.374234383814418
-16.220066508648728,-16.362625394894806,-16.362625394894806
-16.21246869348237,-16.370871232935144,-16.370871232935144
-16.222766929074375,-16.385990518524064,-16.385990518524064
-16.19905053205144,-16.348760359209535,-16.348760359209535
-16.20802641918272,-16.347723033700433,-16.347723033700433
-16.20419765118738,-16.342354292330292,-16.342354292330292
-16.187869614174694,-16.326971305631847,-16.340792108630527
-16.21344744146193,-16.37491712894645,-16.37491712894645
-16.21549898103961,-16.367478654486167,-16.367478654486167
-16.21770318476201,-16.36064725440435,-16.36064725440435
-16.200543559116074,-16.35450201065871,-16.35450201065871
-16.22102752158067,-16.347558898075103,-16.347558898075103
-16.224377975979657,-16.344365628288553,-16.344365628288553
-16.229110580812964,-16.3410187273819,-16.3410187273819
-16.249192495513523,-16.366711780598266,-16.366337594934166
-16.253728671021552,-16.36322470531654,-16.362742612906732
-16.25252385958613,-16.355262083061927,-16.355033491879848
-16.249798649817034,-16.35080003704125,-16.350279770852318
-16.243614109227586,-16.3420819111139,-16.34172846936181
-16.244038959917376,-16.340537378960185,-16.340431727457013
-16.241651060211392,-16.33564821750279,-16.335841813589
-16.23614847276756,-16.328195818477948,-16.327984945024323
-16.231334292248977,-16.321307461745384,-16.321229483554703
-16.22681480880583,-16.315485072715997,-16.315094956962128
-16.220523495574458,-16.30696063934456,-16.306607420745998
-16.215458723403877,-16.29994317759605,-16.299861700715788
-16.214202512271463,-16.297535386289027,-16.29728102642895
-16.209725834258442,-16.29076355119918,-16.290461953050336
-16.205977526904213,-16.285653065540973,-16.285433357725413
-16.20287321098031,-16.280945515741546,-16.28111736174271
-16.200935323491894,-16.27828021495601,-16.278797054888496
-16.143403284352125,-16.22660397508846,-16.22660397508846
-16.14052258093691,-16.222829338223587,-16.222829338223587
-16.191093999993278,-16.264891618928278,-16.265584516677652
-16.188435079998847,-16.26068111819612,-16.26166220465198
-16.18635630591036,-16.256372502852795,-16.25742124095489
-16.12968353115416,-16.205638704841036,-16.205638704841036
-16.180741516398957,-16.24768307205072,-16.249074843267582
-16.123570059072698,-16.196921762894558,-16.19692176289456
-16.121342656513868,-16.192506816040826,-16.19250681604083
-16.118296759603545,-16.18840749091,-16.18840749091
-16.116343979706794,-16.18578379427056,-16.18578379427056
-16.11376212515021,-16.18129238405859,-16.18129238405859
-16.111523351754407,-16.177979580318986,-16.177979580318986
-16.108853706408784,-16.17463002747394,-16.17463002747394
-16.16392594681644,-16.220573886118206,-16.222348127574254
-16.105670486904486,-16.16852681575465,-16.16852681575465
-16.15913592048285,-16.212838791589352,-16.21533951988514
-16.10079434997292,-16.161495621444203,-16.161495621444203
-16.155424426284743,-16.206858309219697,-16.209741217002527
-16.154398497056253,-16.205374974615808,-16.208450916201674
-16.152470824570855,-16.201816928797264,-16.20510541040828
-16.150544640009496,-16.19859921910138,-16.201937571412113
-16.093056067470826,-16.147996931320865,-16.147996931320865
-16.09040158343842,-16.144482765949377,-16.144482765949377
-16.14503546630454,-16.19091254820075,-16.19464823793037
-16.143375094706652,-16.188737880547492,-16.192365909834997
-16.14113088467337,-16.186007452240197,-16.18962127820597
-16.139401225505555,-16.18362698104643,-16.1874305862449
-16.137025729145048,-16.180460337764483,-16.184385854749372
-16.080653642894134,-16.130215862623245,-16.130215862623245
-16.133151021534637,-16.175138641816478,-16.175138641816478
-16.07654703279634,-16.12513313193104,-16.12513313193104
-16.075501095286032,-16.123216158679487,-16.123216158679487
-16.073382879215284,-16.11974886549845,-16.11974886549845
-16.071401566483534,-16.116440431664618,-16.116440431664618
-16.070215572012494,-16.114520779405122,-16.114520779405122
-16.06915503820543,-16.11266355681704,-16.11266355681704
-16.06775643585972,-16.110529814950816,-16.126282035693805
-16.0667194277557,-16.108606557423094,-16.108606557423094
-16.065600080065018,-16.106417228880836,-16.140140987935396
-16.097784823296344,-16.141989201869162,-16.141989201869162
-16.096402707891798,-16.139096246581964,-16.139096246581964
-16.063111474617223,-16.102808559253948,-16.118800445543283
-16.06371542380843,-16.10359907718343,-16.13671736644285
-16.062128419133625,-16.101413899338564,-16.134669290000854
-16.06128718736546,-16.10049243403739,-16.10049243403739
-16.060854390751093,-16.100198732565637,-16.100198732565637
-16.060039090377956,-16.09937317543051,-16.09937317543051
-16.05927143695998,-16.097915725077268,-16.097915725077268
-16.05943337947286,-16.09854451971012,-16.09854451971012
-16.0578872786054,-16.096101133230494,-16.096101133230494
-16.05742333433896,-16.096075490265804,-16.096075490265804
-16.05593237557852,-16.094029499976305,-16.094029499976305
-16.055299148039392,-16.09269779074218,-16.09269779074218
-16.054061069399584,-16.09076074456996,-16.09076074456996
-16.052953279454584,-16.089312866256034,-16.089312866256034
-16.05368996776018,-16.090475007491193,-16.090475007491193
-16.053712762335017,-16.0906869807527,-16.0906869807527
-16.05364080284895,-16.09116141523847,-16.09116141523847
-16.05313272797651,-16.090841487360915,-16.090841487360915
-16.052475517143048,-16.090335298427842,-16.090335298427842
-16.05093103351751,-16.0880980568927,-16.0880980568927
-16.049563927223986,-16.085846887358993,-16.085846887358993
-16.04811735733375,-16.083715825951302,-16.083715825951302
-16.04687408409,-16.081997620144037,-16.081997620144037
-16.048184451625445,-16.084524469787052,-16.08452446978705
-16.04715952005797,-16.08345488292681,-16.08345488292681
-16.044276917647295,-16.08178877433612,-16.08178877433612
-16.043085577812125,-16.079909906969924,-16.079909906969924
-16.041826660903233,-16.07789855104369,-16.07789855104369
-16.040622096279556,-16.075982384624936,-16.075982384624936
-16.04016963540851,-16.07550909361006,-16.07550909361006
-16.04018493431287,-16.074980240744924,-16.074980240744924
-16.03912191975858,-16.073728845491065,-16.073728845491065
