score_fused,score_structure,score_alone
-22.216344272402697,-23.27552876494278,-23.572732996535986
-22.23880934760335,-22.450449507515366,-22.65947573525101
-22.0792799508281,-22.180587806217723,-22.425139740426612
-22.17349076543226,-22.1767086494479,-22.389569044712005
-22.110282796149406,-22.06042036364135,-22.33547420483173
-22.12578546479535,-22.01639128762845,-22.077980026825344
-22.058918902184892,-22.0083895068855,-22.090435240737847
-22.052965705115227,-22.019234747007093,-22.073913711401556
-22.118913014332023,-22.055444666803385,-22.113174230027653
-22.12185819020413,-22.057011451861662,-22.103446873245634
-22.18749569364821,-22.053730869017855,-22.09911594016522
-22.174224879633318,-22.02791341565199,-22.07395098545922
-22.173169770097324,-22.062473138861858,-22.07894751472677
-22.096839382017496,-22.072461984859732,-22.093917245100002
-22.077755195070424,-22.0290882515658,-22.101480414316633
-22.13362874804902,-22.09380263761937,-22.075962586165836
-22.226087639549675,-22.09544184626826,-22.060049238298024
-22.164831465234634,-22.082408090282215,-22.04547282093619
-22.141796226635783,-22.01360806689149,-22.036176973163982
-22.15044576296785,-22.00581608986425,-21.996435224670428
-22.22191354495929,-22.078482251593908,-22.027779163376
-22.201837999207807,-22.059114213854816,-22.031006989216316
-22.209138292221265,-22.062667634862148,-22.01601041889761
-22.224136776756016,-22.071701127715492,-22.041569614271772
-22.223643675376437,-22.07011634080968,-22.052325881333292
-22.132988327808963,-21.999888797550074,-22.00918322701013
-22.182733645340562,-22.040297781161723,-22.04223700009784
-22.144537661158783,-22.06936614808733,-22.051728510919638
-22.136356381515295,-22.065591319097916,-22.048852236765775
-22.12997250038332,-22.068290789817777,-22.0446057146669
-22.07279387800847,-22.019791622430308,-22.04206240824875
-22.160713299705204,-22.050429102905003,-22.039635116749526
-22.06393079366336,-22.003826603298165,-22.025168441292355
-22.058495845133148,-21.999402842601167,-22.026080499557942
-21.984558347639023,-21.977941658891336,-21.99683482565852
-21.978262245705622,-21.962760580323472,-21.98155077643565
-22.050457762524736,-21.99106304385936,-21.99106304385936
-22.041237977653473,-21.98599488692745,-21.98599488692745
-22.03872448061553,-21.982051986381695,-21.982051986381695
-22.069543801767093,-22.00930839069974,-21.979228601975223
-22.062192793169704,-22.00472816277752,-22.00472816277752
-22.059592245928403,-22.007880922858934,-22.007880922858934
-22.05248847307177,-21.996165729901666,-21.996165729901666
-22.063221540973334,-22.030188879921344,-22.017092091019837
-22.07006968776603,-22.0126388361229,-22.0126388361229
-22.076251421261397,-22.026214909987633,-22.04191958701137
-22.078448591173153,-22.025057516093675,-22.04123527075738
-22.052632874754416,-22.064348349837502,-22.030746866704987
-22.116657391471538,-22.06924123718923,-22.069241237189235
-22.04614820162146,-22.057675006842206,-22.02454447020024
-22.04495332444147,-22.05209734316717,-22.019029698843166
-22.03802478274726,-22.040812686019372,-22.007510172054822
-22.038070455273438,-22.040296740329524,-22.007606788475005
-22.011942146198685,-22.01496951307847,-22.000333235403335
-21.960026003647172,-21.954927937541186,-21.96370010381957
-21.94842659808448,-21.936878785353862,-21.965792739701772
-21.954840181403767,-21.941835530531215,-21.9507162803675
-22.038381017872194,-21.99417699771918,-21.937560046540597
-21.968683030097132,-21.9574606285017,-21.92488119371516
-21.92557034689778,-21.906725988739836,-21.917362706233288
-21.917580990788032,-21.895826419504782,-21.906076334674562
-21.90882287575327,-21.885498834236216,-21.89530011060172
-21.90021723552226,-21.874829731979844,-21.884406534733806
-21.893567149545785,-21.8665642011631,-21.876773310780553
-21.892019056738892,-21.867172122828904,-21.878358755068966
-21.885530595379382,-21.85968596427691,-21.870635238081817
-21.87794744443614,-21.849752334148956,-21.861385327396285
-21.876734925443078,-21.845746330518388,-21.857122065495666
-21.881945145743124,-21.84190413305099,-21.840797682457325
-21.87027098515277,-21.83354883781899,-21.84116219092602
-21.891340870119784,-21.860738149439893,-21.855367764922608
-21.883884973364054,-21.852254536934513,-21.846649917936798
-21.82729982952325,-21.779940401578887,-21.855527553208656
-21.82244519075721,-21.777338501389174,-21.853393367506524
-21.813279429668658,-21.767931154334015,-21.848336526954117
-21.808738215572767,-21.76330238920563,-21.8436033299417
-21.80445291018322,-21.758581160651673,-21.839477872981075
-21.799907237625725,-21.75351023994616,-21.834623902446772
-21.793746550622465,-21.746777806648577,-21.82817163779411
-21.805811559016654,-21.757622556243533,-21.838177589568346
-21.80302869643924,-21.75442297778198,-21.834825002074947
-21.87132561627683,-21.827807413131065,-21.827807413131065
-21.86822139621813,-21.836554449389904,-21.82257597962521
-21.785802605227687,-21.736254130065387,-21.817640656939723
-21.788784187550785,-21.738785982961808,-21.819649526405886
-21.86113791784057,-21.828397993978903,-21.81445480913852
-21.782546502031586,-21.73196323725771,-21.81337204325659
-21.776496320199758,-21.725555547451485,-21.807503145493268
-21.771208205796654,-21.720349872470553,-21.802172645019446
-21.767044578068166,-21.715780354327368,-21.79759719483571
-21.765110060220703,-21.713833235218075,-21.795626863543138
-21.763347983217447,-21.71200637719671,-21.793762882179728
-21.818467694986573,-21.781318484590226,-21.774330635331996
-21.82261220091594,-21.786403730454488,-21.779485155724842
-21.82090169940973,-21.785057228471825,-21.77828175109582
-21.819660053495493,-21.78093356054781,-21.774120993739448
-21.816617719500016,-21.779372534609646,-21.772534333860108
-21.81741756378181,-21.78127588186498,-21.774511886029117
-21.81677528554621,-21.77799612170699,-21.704395192343775
-21.81179347544355,-21.774705805438288,-21.767571196422292
-21.811259748938973,-21.77409281335741,-21.766850305436826
-21.810746635734134,-21.77080851217972,-21.76352388614582
-21.80597058582757,-21.767505926631188,-21.760209961368805
-21.80354415004626,-21.76365430521718,-21.75619113695758
-21.805857863081503,-21.76734811331287,-21.69284048902521
