score_fused,score_structure,score_alone
-29.388244990444356,-37.60373076637668,-35.39313036895004
-29.16527556655813,-30.52939749329592,-30.888216106291825
-29.168152217080657,-30.71564655455567,-30.66316779043494
-48.41043346782595,-30.2360775140685,-31.11251520364103
-31.368451856166402,-29.959666688253282,-30.553296397910994
-29.438990880181382,-29.55674225915144,-29.448809809278767
-28.595256219504847,-29.589568006396554,-29.551415215431646
-29.305882880744534,-29.332505440627706,-29.304145104086672
-29.292047514297696,-29.117639808064187,-29.08869569164679
-29.03559524672088,-29.05243709915299,-28.852147412749602
-29.347690625185297,-28.94988919874437,-28.85926702624778
-29.30981913687369,-28.894692570354202,-29.012159284085957
-29.63759202615576,-28.94589072589521,-29.00601478330926
-29.04285745129838,-28.870262060478975,-28.901161502539995
-29.397741356538635,-28.820770012189307,-28.91040015582568
-29.39808626455794,-28.869578929346016,-28.960225990570752
-28.47052000200568,-28.756142699563025,-28.7982213256302
-28.961466028631932,-28.624989010239457,-28.677960152655142
-29.724723488149042,-28.805373737377963,-28.632598554673038
-29.34507685220935,-28.562778152898506,-28.510941754115734
-28.63012615786816,-28.262368920287788,-28.35366456852533
-28.49118728234309,-28.044414846962226,-28.064252983131055
-28.990988555126293,-27.84706246277594,-27.915768673212423
-28.64107879978143,-27.7272408634072,-27.759084009067745
-29.097303082797033,-27.69975511966501,-27.69433997308835
-29.120121513737928,-27.59127406362916,-27.55521791785166
-28.647723165226996,-27.455376471425527,-27.523726679717967
-29.083162476779176,-27.41216382610357,-27.513751500291722
-28.661468906932466,-27.30587231069066,-27.43100931515296
-30.208827009573685,-27.447466856420622,-27.24211487097353
-28.836018852585486,-27.11932204279737,-27.161690793209317
-29.192326596939832,-27.239066755751853,-27.21794455445931
-28.6474662395389,-27.079977187077436,-27.13180940132208
-28.847668188982126,-26.991068762011963,-27.059934498293142
-28.75520622771515,-26.89241080039605,-27.07325851677273
-29.36678386194954,-26.87625384882361,-27.030067252959366
-28.641622131123437,-26.908669784339306,-26.991757670775705
-29.347341560891085,-26.783590219871105,-26.83970817704681
-28.765802109060942,-26.791239218179268,-26.80922974336726
-29.270029196677118,-26.860029678292868,-26.776562196733337
-29.406733094786663,-26.79818427251488,-26.744600887989442
-29.46176238226347,-26.701585997657453,-26.718005690245032
-29.381325607838274,-26.61717880397234,-26.688703134853828
-29.04354632018767,-26.673874281646444,-26.653379717251706
-29.01040491503891,-26.6252913183934,-26.625291318393405
-28.982220675300397,-26.60444816561789,-26.625416382201877
-28.761238726313483,-26.556828709824384,-26.578397770143223
-29.073162865648204,-26.578067418330985,-26.559160512652486
-29.241630619946317,-26.467403042914725,-26.539574391216345
-29.243999117061712,-26.450049424005062,-26.50592021091303
-28.769709864866684,-26.483736363740963,-26.483736363740963
