score_fused,score_structure,score_alone
-15.918896948238004,-19.8222081568901,-20.5926432186766
-15.823090201164637,-16.370022360300805,-17.27325300062481
-16.14781345397636,-16.82617176518454,-17.728767076611412
-15.991275355020038,-16.357324015869473,-17.468612224392714
-15.989868576747147,-16.155602251446194,-17.105796405040987
-28.21473861985561,-16.538843408059492,-17.246065251855853
-16.01573482638144,-15.966881008260183,-17.049131888770784
-16.01758682857156,-15.870906524873185,-16.8447835343893
-16.541143062491464,-16.445133482432638,-16.73120844641236
-16.219488842127912,-15.997186257218067,-16.879039617909093
-16.542568127434617,-16.32787718798164,-16.712726540702675
-16.47041852616093,-16.157054605613784,-16.795839790411875
-16.47286381550993,-16.12299882404407,-16.761854726934484
-15.916577248862877,-15.645619494495149,-16.49145755225254
-15.917164238056937,-15.621074464398781,-16.46080716491802
-16.478053111968006,-16.082637242009252,-16.082637242009252
-16.480181149222158,-16.06792840657595,-16.06792840657595
-16.20924158483077,-15.712942453055105,-16.165555863881213
-16.479798088854068,-16.04598352273709,-16.04598352273709
-16.007705264736074,-15.54951525293145,-15.54951525293145
-15.923662184646899,-15.542451470796967,-15.542451470796967
-15.9254731156885,-15.538778418299556,-15.538778418299556
-15.943991317280355,-15.446926980379814,-15.446926980379814
-15.946366465934256,-15.440846041584312,-15.440846041584312
-15.9470486773393,-15.432359121363605,-15.432359121363605
-15.94554709030735,-15.42105145236971,-15.42105145236971
-15.94714351000938,-15.419905961032612,-15.419905961032612
-15.946369800881019,-15.41477500212499,-15.41477500212499
-15.945645108104772,-15.399277990521696,-15.399277990521696
-15.943731955172357,-15.391599793122596,-15.391599793122596
-15.942544810875699,-15.379871226296979,-15.379871226296979
-15.941971809588715,-15.378681103156248,-15.51274561131791
-15.940175330955459,-15.376381758828382,-15.512806316909085
-15.939229892162627,-15.370563056800409,-15.370563056800409
-15.938782173778824,-15.366246560959828,-15.366246560959828
-16.12543895102887,-15.504689798046776,-15.364008429108535
-16.126736361058455,-15.503778391415473,-15.36166501530551
-15.964690914998808,-15.315184941037607,-15.315184941037607
-15.964342008533132,-15.313183343550389,-15.313183343550389
-15.96341837391481,-15.307579018010895,-15.307579018010895
-15.963341149452255,-15.300152700120941,-15.300152700120941
-15.998135442124491,-15.388598708007612,-15.388598708007612
-16.031542908848113,-15.44025180243786,-15.455056720979378
-16.000676703117595,-15.387804953829516,-15.387804953829516
-16.001394742909632,-15.380186776470357,-15.380186776470357
-15.964259254740716,-15.284865484413672,-15.284865484413672
-16.0031374291699,-15.373211969024036,-15.373211969024034
-16.004117022338345,-15.367311236741442,-15.367311236741442
-16.005120369434295,-15.357752219726132,-15.35775221972613
-16.005646529354603,-15.353112232028236,-15.353112232028236
