score_fused,score_structure,score_alone
-16.35788473027485,-22.75969654530142,-21.860820689878928
-16.386746388202866,-17.308291379806604,-17.630426821358398
-16.38213452203417,-17.399497881929854,-17.734549391353806
-16.174628231087066,-17.20969798900789,-17.746676725173447
-16.1705863363225,-17.083305925515816,-17.53854726767404
-16.170256672384138,-17.112701143143386,-17.55954951566422
-16.16482636595457,-17.10772425264703,-17.602998091883347
-16.14385178971857,-16.349150661588332,-17.423364544345
-16.00908151901216,-16.28692854547545,-17.453052719098793
-16.006819307438267,-16.321714784975285,-16.82805764865386
-16.229730498834417,-16.187785731809942,-16.364323526346134
-16.26583505917579,-16.10681019220637,-16.177788035599573
-16.261454457174317,-16.09270229531225,-16.164557337998307
-16.258936192985473,-16.093452539967156,-16.16665113031716
-16.50288650502578,-16.39145855233428,-16.167966621275404
-16.569503434605338,-16.532692309297037,-16.172132243610967
-16.643897507618565,-16.489041486449512,-16.123847790357072
-16.396990904365158,-16.194640114274534,-16.11986304753963
-16.25859075829453,-16.085699564202976,-16.12051054951559
-16.26015146908475,-16.082893926687458,-16.117223223097273
-16.144477020582308,-15.805146645170929,-16.100475564033342
-16.14422425888,-15.816091301898807,-15.816091301898807
-16.142492521863616,-15.819701160960928,-15.819701160960928
-16.143916690094553,-15.830474504259923,-15.830474504259923
-16.144849335174257,-15.82909835974723,-15.82909835974723
-16.146589317218293,-15.834671331616883,-15.834671331616883
-16.146710465994303,-15.833851683225843,-15.833851683225843
-16.14450996996734,-15.821065779280215,-15.821065779280215
-16.018104577354784,-15.708046080572087,-15.708046080572087
-16.27481813794868,-15.986338685543073,-15.986338685543073
-16.019248789905614,-15.60313066262833,-15.60313066262833
-16.02027726474249,-15.60328658262111,-15.603286582621108
-16.01635313830129,-15.600436443287807,-15.600436443287801
-16.045953580398088,-15.609136789956759,-15.609136789956759
-16.048629357109057,-15.614791173435208,-15.614791173435208
-16.61181051640075,-16.173144329727577,-16.173144329727577
-16.048469895597492,-15.609792726152529,-15.609792726152529
-16.052925981251374,-15.617831940459496,-15.617831940459496
-16.396893928357294,-15.83783227881108,-15.83783227881108
-16.399398746587128,-15.8256069984021,-15.8256069984021
-16.23115433444018,-15.658626129002029,-15.65862612900203
-16.23173482565226,-15.64777569038651,-15.65862612900203
-16.234170628070693,-15.645527569723516,-15.65862612900203
-16.237584341741357,-15.650655565624364,-15.65862612900203
-16.240233611273617,-15.648234211991682,-15.65862612900203
-16.242775584998014,-15.641354578444222,-15.65862612900203
-16.23746889696747,-15.630255210220945,-15.65862612900203
-16.418766750732285,-15.765360602113866,-15.765360602113866
-16.423527255212047,-15.765189217384986,-15.765189217384986
-16.24367846084273,-15.607180145502966,-15.65862612900203
-16.241365601214675,-15.57832821080616,-15.65862612900203
