score_fused,score_alone
-29.91497781251237,-30.150271898722572
-29.64191815404291,-29.762479696682714
-29.51340559379805,-29.878540642786557
-29.71683574349923,-29.84757231765528
-29.574288268978478,-29.61165516296143
-29.62709614707082,-29.492127079311715
-29.684066350274055,-29.66197187666663
-29.65330083786405,-29.791749571762804
-29.758053846628435,-29.784756202185097
-29.57380981427501,-29.780182845136554
-29.804936418628728,-29.522921252444007
-29.743987289719293,-29.708756695391415
-29.633377630060203,-29.7016643814164
-29.698168293587887,-29.80126063611518
-29.769731796331165,-29.79215038164724
-29.76371066334651,-29.776169525155364
-29.733679909707284,-29.808093110839405
-29.661652388798956,-29.77342000806214
-29.666770473537706,-29.798233215667654
-29.81935763731129,-29.80214838668779
-29.793220177289065,-29.856480325170807
-29.757865366021587,-29.808366651954024
-29.77327242244736,-29.796375594449962
-29.75120859769991,-29.79583422060691
-29.772613347203087,-29.780860555218986
-29.77088109248264,-29.795365657557003
-29.786237586456345,-29.780575449341793
-29.799979687566047,-29.791150672741672
-29.72843945893109,-29.777072361635323
-29.716374439724927,-29.798524433294222
-29.777537608938733,-29.83741800796192
-29.773720388361443,-29.78133701676431
-29.785247745221447,-29.830638382944336
-29.719922928050856,-29.79781252341633
-29.761103477896253,-29.799624864496142
-29.695139525519917,-29.86442194643267
-29.687542296221835,-29.83751806959792
-29.711242024487355,-29.78485910792046
-29.730253162053256,-29.78380818405475
-29.69953448422393,-29.832358097918025
-29.772648913504952,-29.83250548225834
-29.64190586357244,-29.844375353395627
-29.683156385486814,-29.789980676166284
-29.716026238272136,-29.740814177575967
-29.757390083769426,-29.799624864496142
-29.708221248965206,-29.763139704553268
-29.742737172490138,-29.76318322015949
-29.74710795867399,-29.78333818941154
-29.78711384275592,-29.763397034130765
-29.72958620414934,-29.78133747416763
-29.729477567479776,-29.763397034130765
