score_fused,score_alone
-29.279600473688447,-29.35810575709461
-28.813250318406183,-28.88494208361108
-28.769132500173136,-28.81856199991555
-28.665518556082073,-28.788145370349206
-28.645176479333728,-28.721568537774388
-28.689276453716417,-28.689276453716417
-28.629248210913737,-28.670374494239876
-28.635422397242593,-28.64128265224629
-28.606119037719182,-28.60465174316821
-28.620351084551217,-28.61766641441108
-28.61647145850357,-28.63172406638061
-28.60931739224355,-28.60341259590684
-28.832695701868193,-28.621405269984532
-28.600096915011356,-28.60852532193992
-28.58901545329921,-28.600662929836215
-28.615498979706565,-28.59471713653817
-28.590758912153955,-28.597704236759142
-28.595704247141892,-28.588855329861996
-28.60166763777751,-28.581492459198167
-28.59283430519228,-28.608526459426137
-28.597139991583678,-28.591103241261
-28.59014277526932,-28.59014277526932
-28.584737220729842,-28.578751518406452
-28.585368948852363,-28.58943669025066
-28.580890796149035,-28.580890796149035
-28.582129381813395,-28.594753586543845
-28.58760874381155,-28.599775144618896
-28.595996890255133,-28.59080575916148
-28.596340659236812,-28.584838444755373
-28.590346977071302,-28.585125100911174
-28.589984679632728,-28.585559643912543
-28.590074892292634,-28.58621133103641
-28.599523120466397,-28.593462037071603
-28.588925417847715,-28.58726466255023
-28.588925417847715,-28.576778235807915
-28.57874371704622,-28.582382651830127
-28.577161114411165,-28.571938570893256
-28.58235371335249,-28.746395024733136
-28.58235371335249,-28.575531904023244
-28.577356451549655,-28.578745253651647
-28.575711691288312,-28.578745253651647
-28.576801403694468,-28.57523970614636
-28.57532684558427,-28.574965087342946
-28.57743491933596,-28.579081739572114
-28.574148153634503,-28.574948974393052
-28.575443141707378,-28.5790761903523
-28.580253908200124,-28.576111598272178
-28.576919875268167,-28.578115937284746
-28.577732731837887,-28.57900591960241
-28.576919875268167,-28.576061760778753
-28.57398119743576,-28.574805008102363
