score_fused,score_alone
-15.27245986608563,-15.910024810677001
-15.264471925466117,-15.353798350551454
-15.254761887716823,-15.339804924232931
-15.258345383601455,-15.319023765757361
-15.262419211486899,-15.293073080121141
-15.256834022501979,-15.261018855917328
-15.264988920290572,-15.273946543329386
-15.275029376087486,-15.27810329414089
-15.272075695967057,-15.27205009376038
-15.260999045328587,-15.275915719169031
-15.254681832631215,-15.260900999563411
-15.2668636385963,-15.266153864436639
-15.262015187183275,-15.25792564868205
-15.257099449886917,-15.258730134715252
-15.25592337706186,-15.258128699505862
-15.254676041013278,-15.260004555493914
-15.262027021423755,-15.261327139220029
-15.259177406951748,-15.262760419507574
-15.26272562331221,-15.2597435138383
-15.258613696645298,-15.260004555493914
-15.258613696645298,-15.258633256229428
-15.26714545490365,-15.258633256229428
-15.25593521130234,-15.25918230082051
-15.254699817391867,-15.25469560059741
-15.254701643219956,-15.25469560059741
-15.255943430048724,-15.255437128385372
-15.253609908942174,-15.255437128385372
-15.259177406951748,-15.25933899981905
-15.253592525481883,-15.262730016892258
-15.256732825294634,-15.254732758187696
-15.259177406951748,-15.25812315028605
-15.259177406951748,-15.25541756880124
-15.258144725438049,-15.256733067692757
-15.259185625698128,-15.25812315028605
-15.257602861612298,-15.25812315028605
-15.253570140138402,-15.25812315028605
-15.257358676042893,-15.253612085066017
-15.25357026116028,-15.256790965196052
-15.253598317099817,-15.255917827842046
-15.258611669930554,-15.255917827842046
-15.253705203922674,-15.255917827842046
-15.254682118585299,-15.253703508568753
-15.254712287614112,-15.253713260409324
-15.261321590000215,-15.261327139220029
-15.259388869838578,-15.25812315028605
-15.25709944988692,-15.25812315028605
-15.261327381618152,-15.254732758187696
-15.257135252750537,-15.253669587373949
-15.253735023141632,-15.258109718043842
-15.259440286859812,-15.258109718043842
-15.259458258712575,-15.25710292955746
