score_fused,score_alone
-29.91275983013044,-30.327337726867952
-29.91275983013044,-30.062613531336016
-29.90239632357958,-29.98802450572921
-29.88726427558204,-29.960536593355364
-29.895269786397208,-29.95584019902337
-29.87512199180829,-29.962040652564568
-29.88394432233012,-29.93709822361887
-29.88007293582072,-29.91144729806968
-29.90408307564769,-29.90685502664196
-29.885517302637734,-29.90680709990057
-29.87980172057133,-29.93201861882893
-29.8767181569178,-29.92424877487777
-29.906144380821043,-29.92392337006593
-29.906122494968404,-29.92066359303317
-29.877162273594774,-29.89488157698415
-29.845972345607542,-29.83887308982296
-29.827402572062866,-29.873814418116616
-29.84668310775389,-29.834372525704897
-29.844368618674448,-29.86757286135888
-29.84439206027537,-29.87195668880365
-29.844376124540403,-29.8719641946696
-29.83616692104985,-29.864625400329007
-29.829549196377915,-29.83898958656692
-29.82894375963936,-29.83377139182544
-29.828973406911565,-29.83377139182544
-29.82869433013061,-29.83377139182544
-29.828722395661465,-29.83377139182544
-29.82869458568421,-29.83377139182544
-29.82878988065911,-29.83377139182544
-29.828789625105504,-29.83377139182544
-29.828789625105504,-29.83377139182544
-29.82881769063636,-29.835738483778623
-29.836415334971765,-29.835710418247768
-29.84731607195864,-29.835751154147765
-29.843959789904275,-29.835710418247768
-29.84974760545599,-29.840773666912263
-29.84071332360985,-29.838896694481143
-29.840777760923523,-29.838917254146047
-29.82052456223731,-29.84704223304032
-29.84133645772828,-29.83367222577441
-29.84133645772828,-29.83367222577441
-29.84136452325913,-29.83367222577441
-29.842275283794454,-29.83896053490641
-29.842246147629456,-29.83896053490641
-29.842246147629456,-29.83896053490641
-29.842246147629456,-29.83896053490641
-29.84224589207585,-29.83896053490641
-29.842246147629456,-29.83896053490641
-29.84775486442332,-29.83896053490641
-29.847777967947422,-29.83896053490641
-29.84775460886972,-29.83896053490641
-29.8477743684716,-29.84446962632339
-29.84780115399474,-29.83896053490641
-29.84778421327988,-29.83997093188052
-29.84775460886972,-29.842401486506542
-29.84775486442332,-29.828361056247903
-29.847761109755776,-29.81037031290625
-29.819389702495613,-29.81037031290625
-29.847760854202168,-29.81037031290625
-29.81478812324721,-29.81036294236063
-29.81478812324721,-29.81036294236063
-29.81478812324721,-29.81037031290625
-29.815358641863423,-29.81036294236063
-29.81482085888804,-29.81036294236063
-29.814791467169435,-29.81037031290625
-29.8077461188332,-29.826057716242083
-29.81523305217761,-29.81037031290625
-29.814791467169435,-29.81036294236063
-29.81539137750425,-29.81036294236063
-29.815361985785653,-29.81037031290625
-29.815803570793832,-29.826057716242083
-29.815813339985908,-29.826057716242083
-29.8121802799622,-29.826057716242083
-29.81745374798715,-29.81037031290625
-29.81518361740172,-29.82219781763765
-29.81745374798715,-29.822192428830512
-29.81518361740172,-29.81037031290625
-29.81518361740172,-29.81037031290625
-29.80993614119724,-29.81641804118384
-29.80992637200516,-29.81037031290625
-29.81001783946776,-29.81037031290625
-29.80936562258102,-29.81036294236063
-29.81001783946776,-29.81037031290625
-29.81001783946776,-29.81037031290625
-29.81002760865983,-29.81037031290625
-29.81001783946776,-29.816429792114395
-29.81001783946776,-29.81036294236063
-29.808378713193413,-29.80910798034474
-29.81002760865983,-29.808445994265927
-29.81228537286408,-29.80160680766992
-29.81001783946776,-29.81102492843944
-29.808378713193413,-29.81020720820067
-29.81002760865983,-29.809537716255896
-29.81002760865983,-29.81725529456595
-29.81001783946776,-29.81724552537388
-29.808378713193413,-29.81783908829824
-29.81843537800541,-29.81783908829824
-29.808378713193413,-29.81783908829824
-29.802268167416248,-29.817666446103686
-29.802268793748723,-29.817666446103686
-29.802268793748723,-29.817666446103686
-29.802268167416248,-29.816712623235432
-29.80840810491201,-29.807438093181403
-29.802268793748723,-29.810987690075823
-29.808404760989784,-29.807512196643977
-29.808378713193413,-29.807512196643977
-29.808378713193413,-29.817675494630087
-29.808378713193413,-29.817675494630087
-29.808378713193413,-29.817675494630087
-29.808378713193413,-29.817675494630087
-29.80840810491201,-29.817675494630087
-29.808375369271182,-29.817675494630087
-29.808375369271182,-29.8177307275376
-29.807656435703,-29.81710880352617
-29.807656435703,-29.81710880352617
-29.80840810491201,-29.81710880352617
-29.808404760989784,-29.81710880352617
-29.815673768852108,-29.80694550554006
-29.81570316057072,-29.80694550554006
-29.8077167271146,-29.81710880352617
-29.8077167271146,-29.81701350855128
-29.8077167271146,-29.81701350855128
-29.80577539494817,-29.81507217638486
-29.81285013500302,-29.80549676101499
-29.812879526721623,-29.81580970580342
-29.81285013500302,-29.81990100921828
-29.81285013500302,-29.819908515084244
-29.81285013500302,-29.80181774640512
-29.81285013500302,-29.80549676101499
-29.82319247151006,-29.81775103796984
-29.81285013500302,-29.80759638408948
-29.812879526721623,-29.80759638408948
-29.81285013500302,-29.809537716255896
-29.8128761827994,-29.80759638408948
-29.81285013500302,-29.80759638408948
-29.8128467910808,-29.80954522212186
-29.81285013500302,-29.809537716255896
-29.81285013500302,-29.80759638408948
-29.81285013500302,-29.80954522212186
-29.8128761827994,-29.80954522212186
-29.812879526721623,-29.809537716255896
-29.81285013500302,-29.80759638408948
-29.81497914979612,-29.809537716255896
-29.81495726394348,-29.80706493181405
-29.81285013500302,-29.80705742594809
-29.81494975807751,-29.80705742594809
-29.81494975807751,-29.80705742594809
-29.81285013500302,-29.80705742594809
-29.81285013500302,-29.80705742594809
-29.812879526721623,-29.807086817666693
