score_fused,score_alone
-28.816836538070675,-30.75299822397231
-28.375275488325755,-30.12125684824453
-28.630431551594317,-29.73965878203334
-28.65847633214892,-29.36431338409313
-28.728443681777016,-29.024828541422856
-28.349194813027122,-29.092308424813478
-28.355378439593146,-28.494103150960715
-28.51878221958709,-29.13295802189778
-28.937146139583305,-29.103785915960128
-28.349194813027122,-28.48014501507124
-28.719037571883707,-28.413655229154866
-28.63267648451214,-28.368863374506688
-28.358797751053473,-28.29445558614844
-28.325464545999168,-28.500834159638515
-28.325464545999168,-28.65912799209471
-28.684965342712047,-28.321643265123907
-28.414764823531314,-28.214936687390907
-28.53896002662801,-28.302213255254742
-28.703655201357645,-28.270292253986252
-28.613084338006658,-28.325464545999168
-28.550709558459126,-28.325464545999168
-28.53766773927911,-28.513937472251158
-28.349194813027122,-28.513937472251158
-28.552035049779263,-28.513937472251158
-28.53766773927911,-28.57423679894016
-28.349194813027122,-28.51283653583909
-28.349194813027122,-28.476267476178037
-28.5364245340041,-28.476267476178037
-28.349194813027122,-28.441243706128077
-28.460759965513592,-28.606274042018807
-28.500648756041095,-28.5101955985772
-28.582273992659946,-28.4703068080497
-28.44056486766075,-28.615994086438665
-28.651216893374684,-28.668693995379957
-28.506666471078983,-28.77724430454455
-28.506666471078983,-28.646888293933984
-28.53766773927911,-28.594446897294272
-28.349194813027122,-28.503453497293147
-28.404674646467036,-28.503453497293147
-28.53896002662801,-28.53766773927911
-28.349194813027122,-28.552069431618108
-28.349194813027122,-28.542512486615042
-28.349194813027122,-28.349194813027122
-28.73991598780684,-28.69958055530478
-28.758008911275244,-28.53896002662801
-28.542512486615042,-28.53896002662801
-28.349194813027122,-28.349194813027122
-28.349194813027122,-28.349194813027122
-28.349194813027122,-28.349194813027122
-28.460759965513592,-28.6195892125943
-28.542512486615042,-28.542512486615042
